,Entity,Code,Day,Cases,Deaths,Disease
155,India,IND,2020-06-08,0.0,0.0,Covid-19
156,India,IND,2020-06-09,0.0,0.0,Covid-19
157,India,IND,2020-06-10,0.0,0.0,Covid-19
158,India,IND,2020-06-11,0.0,0.0,Covid-19
159,India,IND,2020-06-12,0.0,0.0,Covid-19
160,India,IND,2020-06-13,0.0,0.0,Covid-19
161,India,IND,2020-06-14,74294.0,2266.0,Covid-19
162,India,IND,2020-06-15,0.0,0.0,Covid-19
163,India,IND,2020-06-16,0.0,0.0,Covid-19
164,India,IND,2020-06-17,0.0,0.0,Covid-19
165,India,IND,2020-06-18,0.0,0.0,Covid-19
166,India,IND,2020-06-19,0.0,0.0,Covid-19
167,India,IND,2020-06-20,0.0,0.0,Covid-19
168,India,IND,2020-06-21,89539.0,4059.0,Covid-19
169,India,IND,2020-06-22,0.0,0.0,Covid-19
170,India,IND,2020-06-23,0.0,0.0,Covid-19
171,India,IND,2020-06-24,0.0,0.0,Covid-19
172,India,IND,2020-06-25,0.0,0.0,Covid-19
173,India,IND,2020-06-26,0.0,0.0,Covid-19
174,India,IND,2020-06-27,0.0,0.0,Covid-19
175,India,IND,2020-06-28,118398.0,2841.0,Covid-19
176,India,IND,2020-06-29,0.0,0.0,Covid-19
177,India,IND,2020-06-30,0.0,0.0,Covid-19
178,India,IND,2020-07-01,0.0,0.0,Covid-19
179,India,IND,2020-07-02,0.0,0.0,Covid-19
180,India,IND,2020-07-03,0.0,0.0,Covid-19
181,India,IND,2020-07-04,0.0,0.0,Covid-19
182,India,IND,2020-07-05,144306.0,3173.0,Covid-19
183,India,IND,2020-07-06,0.0,0.0,Covid-19
184,India,IND,2020-07-07,0.0,0.0,Covid-19
185,India,IND,2020-07-08,0.0,0.0,Covid-19
186,India,IND,2020-07-09,0.0,0.0,Covid-19
187,India,IND,2020-07-10,0.0,0.0,Covid-19
188,India,IND,2020-07-11,0.0,0.0,Covid-19
189,India,IND,2020-07-12,176388.0,3406.0,Covid-19
190,India,IND,2020-07-13,0.0,0.0,Covid-19
191,India,IND,2020-07-14,0.0,0.0,Covid-19
192,India,IND,2020-07-15,0.0,0.0,Covid-19
193,India,IND,2020-07-16,0.0,0.0,Covid-19
194,India,IND,2020-07-17,0.0,0.0,Covid-19
195,India,IND,2020-07-18,0.0,0.0,Covid-19
196,India,IND,2020-07-19,228065.0,4142.0,Covid-19
197,India,IND,2020-07-20,0.0,0.0,Covid-19
198,India,IND,2020-07-21,0.0,0.0,Covid-19
199,India,IND,2020-07-22,0.0,0.0,Covid-19
200,India,IND,2020-07-23,0.0,0.0,Covid-19
201,India,IND,2020-07-24,0.0,0.0,Covid-19
202,India,IND,2020-07-25,0.0,0.0,Covid-19
203,India,IND,2020-07-26,307904.0,5247.0,Covid-19
204,India,IND,2020-07-27,0.0,0.0,Covid-19
205,India,IND,2020-07-28,0.0,0.0,Covid-19
206,India,IND,2020-07-29,0.0,0.0,Covid-19
207,India,IND,2020-07-30,0.0,0.0,Covid-19
208,India,IND,2020-07-31,0.0,0.0,Covid-19
209,India,IND,2020-08-01,0.0,0.0,Covid-19
210,India,IND,2020-08-02,365201.0,5301.0,Covid-19
211,India,IND,2020-08-03,0.0,0.0,Covid-19
212,India,IND,2020-08-04,0.0,0.0,Covid-19
213,India,IND,2020-08-05,0.0,0.0,Covid-19
214,India,IND,2020-08-06,0.0,0.0,Covid-19
215,India,IND,2020-08-07,0.0,0.0,Covid-19
216,India,IND,2020-08-08,0.0,0.0,Covid-19
217,India,IND,2020-08-09,402287.0,6015.0,Covid-19
218,India,IND,2020-08-10,0.0,0.0,Covid-19
219,India,IND,2020-08-11,0.0,0.0,Covid-19
220,India,IND,2020-08-12,0.0,0.0,Covid-19
221,India,IND,2020-08-13,0.0,0.0,Covid-19
222,India,IND,2020-08-14,0.0,0.0,Covid-19
223,India,IND,2020-08-15,0.0,0.0,Covid-19
224,India,IND,2020-08-16,436672.0,6601.0,Covid-19
225,India,IND,2020-08-17,0.0,0.0,Covid-19
226,India,IND,2020-08-18,0.0,0.0,Covid-19
227,India,IND,2020-08-19,0.0,0.0,Covid-19
228,India,IND,2020-08-20,0.0,0.0,Covid-19
229,India,IND,2020-08-21,0.0,0.0,Covid-19
230,India,IND,2020-08-22,0.0,0.0,Covid-19
231,India,IND,2020-08-23,455258.0,6726.0,Covid-19
232,India,IND,2020-08-24,0.0,0.0,Covid-19
233,India,IND,2020-08-25,0.0,0.0,Covid-19
234,India,IND,2020-08-26,0.0,0.0,Covid-19
235,India,IND,2020-08-27,0.0,0.0,Covid-19
236,India,IND,2020-08-28,0.0,0.0,Covid-19
237,India,IND,2020-08-29,0.0,0.0,Covid-19
238,India,IND,2020-08-30,497793.0,6792.0,Covid-19
239,India,IND,2020-08-31,0.0,0.0,Covid-19
240,India,IND,2020-09-01,0.0,0.0,Covid-19
241,India,IND,2020-09-02,0.0,0.0,Covid-19
242,India,IND,2020-09-03,0.0,0.0,Covid-19
243,India,IND,2020-09-04,0.0,0.0,Covid-19
244,India,IND,2020-09-05,0.0,0.0,Covid-19
245,India,IND,2020-09-06,571078.0,7128.0,Covid-19
246,India,IND,2020-09-07,0.0,0.0,Covid-19
247,India,IND,2020-09-08,0.0,0.0,Covid-19
248,India,IND,2020-09-09,0.0,0.0,Covid-19
249,India,IND,2020-09-10,0.0,0.0,Covid-19
250,India,IND,2020-09-11,0.0,0.0,Covid-19
251,India,IND,2020-09-12,0.0,0.0,Covid-19
252,India,IND,2020-09-13,640545.0,7960.0,Covid-19
253,India,IND,2020-09-14,0.0,0.0,Covid-19
254,India,IND,2020-09-15,0.0,0.0,Covid-19
255,India,IND,2020-09-16,0.0,0.0,Covid-19
256,India,IND,2020-09-17,0.0,0.0,Covid-19
257,India,IND,2020-09-18,0.0,0.0,Covid-19
258,India,IND,2020-09-19,0.0,0.0,Covid-19
259,India,IND,2020-09-20,646263.0,8166.0,Covid-19
260,India,IND,2020-09-21,0.0,0.0,Covid-19
261,India,IND,2020-09-22,0.0,0.0,Covid-19
262,India,IND,2020-09-23,0.0,0.0,Covid-19
263,India,IND,2020-09-24,0.0,0.0,Covid-19
264,India,IND,2020-09-25,0.0,0.0,Covid-19
265,India,IND,2020-09-26,0.0,0.0,Covid-19
266,India,IND,2020-09-27,591913.0,7751.0,Covid-19
267,India,IND,2020-09-28,0.0,0.0,Covid-19
268,India,IND,2020-09-29,0.0,0.0,Covid-19
269,India,IND,2020-09-30,0.0,0.0,Covid-19
270,India,IND,2020-10-01,0.0,0.0,Covid-19
271,India,IND,2020-10-02,0.0,0.0,Covid-19
272,India,IND,2020-10-03,0.0,0.0,Covid-19
